112,845,304,845,304,867,112,867,0.9991604
80,893,144,893,144,912,80,912,0.9991505
80,1011,320,1011,320,1030,80,1030,0.999148
80,446,352,446,352,468,80,468,0.999131
512,1010,576,1010,576,1030,512,1030,0.9991148
80,986,208,986,208,1008,80,1008,0.9990901
240,235,432,235,432,255,240,255,0.99908376
480,657,576,657,576,677,480,677,0.99908006
480,468,576,468,576,487,480,487,0.999052
144,777,240,777,240,796,144,796,0.99904317
112,823,208,823,208,845,112,845,0.99904066
144,730,192,730,192,747,144,747,0.9990349
208,305,432,305,432,325,208,325,0.9990293
208,539,416,539,416,561,208,561,0.9990231
448,913,544,913,544,938,448,938,0.99902236
80,588,176,588,176,609,80,609,0.99902034
176,1057,464,1057,464,1077,176,1077,0.9990169
80,541,160,541,160,561,80,561,0.9990163
144,754,240,754,240,773,144,773,0.9990107
208,472,352,472,352,491,208,491,0.9990097
80,472,144,472,144,490,80,490,0.9989911
80,494,160,494,160,515,80,515,0.99898535
176,939,464,939,464,961,176,961,0.9989819
208,516,304,516,304,536,208,536,0.99897635
208,493,304,493,304,513,208,513,0.99897254
224,350,432,350,432,374,224,374,0.9989706
256,398,384,398,384,420,256,420,0.9989655
400,1009,464,1009,464,1030,400,1030,0.9989641
528,585,576,585,576,609,528,609,0.99895597
80,914,208,914,208,935,80,935,0.9989506
160,1082,464,1082,464,1101,160,1101,0.99895006
240,283,400,283,400,303,240,303,0.9989492
96,658,272,658,272,679,96,679,0.9989417
256,259,400,259,400,277,256,277,0.99894124
208,632,448,632,448,655,208,655,0.99894124
80,520,160,520,160,537,80,537,0.99893767
272,164,384,164,384,184,272,184,0.9989365
512,986,576,986,576,1008,512,1008,0.99893504
192,141,464,141,464,161,192,161,0.99893504
384,987,464,987,464,1007,384,1007,0.9989262
464,891,544,891,544,915,464,915,0.9989214
416,844,544,844,544,867,416,867,0.9989213
128,680,256,680,256,701,128,701,0.9989096
144,212,496,212,496,232,144,232,0.9989083
128,704,192,704,192,727,128,727,0.9989034
464,821,544,821,544,843,464,843,0.99890304
