48,738,400,738,400,777,48,777,0.99970007
240,256,512,256,512,290,240,290,0.9996933
160,114,448,114,448,134,160,134,0.99968207
32,386,208,386,208,404,32,404,0.9996706
448,786,512,786,512,819,448,819,0.9996693
32,1082,464,1082,464,1099,32,1099,0.99966586
32,294,128,294,128,310,32,310,0.99965024
32,1016,560,1016,560,1031,32,1031,0.9996394
224,927,512,927,512,964,224,964,0.9996352
16,536,224,536,224,557,16,557,0.99963284
16,560,224,560,224,580,16,580,0.9996283
448,740,512,740,512,772,448,772,0.9996259
16,685,512,685,512,707,16,707,0.99962413
16,636,272,636,272,658,16,658,0.99961984
16,479,512,479,512,501,16,501,0.9996197
48,833,512,833,512,870,48,870,0.9996158
112,137,512,137,512,155,112,155,0.999613
16,708,224,708,224,728,16,728,0.9996117
32,1061,560,1061,560,1077,32,1077,0.99960953
16,515,208,515,208,534,16,534,0.9996018
448,515,512,515,512,534,448,534,0.9995999
32,71,592,71,592,91,32,91,0.9995976
464,563,512,563,512,583,464,583,0.9995952
128,199,496,199,496,232,128,232,0.999589
16,659,272,659,272,682,16,682,0.99957293
336,783,400,783,400,819,336,819,0.999572
464,536,512,536,512,556,464,556,0.9995677
176,159,432,159,432,178,176,178,0.9995647
16,1106,464,1106,464,1123,16,1123,0.9995617
176,592,512,592,512,628,176,628,0.9995608
240,449,496,449,496,471,240,471,0.9995567
16,323,368,323,368,356,16,356,0.9995566
464,663,512,663,512,681,464,681,0.9995555
160,93,464,93,464,114,160,114,0.9995504
16,988,128,988,128,1007,16,1007,0.99954623
176,879,512,879,512,914,176,914,0.9995447
16,1128,208,1128,208,1147,16,1147,0.9995364
16,1036,496,1036,496,1053,16,1053,0.999532
16,362,304,362,304,383,16,383,0.9995202
304,297,512,297,512,316,304,316,0.9995092
448,707,512,707,512,730,448,730,0.9995024
16,427,272,427,272,449,16,449,0.99950135
176,1148,432,1148,432,1172,176,1172,0.9994823
16,410,352,410,352,426,16,426,0.999482
336,635,512,635,512,659,336,659,0.9994785
